Year,First Name,County,Sex,Count
2013,GAVIN,ST LAWRENCE,M,9
2013,LEVI,ST LAWRENCE,M,9
2013,LOGAN,NEW YORK,M,44
2013,HUDSON,NEW YORK,M,49
2013,GABRIEL,NEW YORK,M,50
2013,THEODORE,NEW YORK,M,51
2013,ELIZA,KINGS,F,16
2013,MADELEINE,KINGS,F,16
2013,ZARA,KINGS,F,16
2013,DAISY,KINGS,F,16
2013,JONATHAN,NEW YORK,M,51
2013,CHRISTOPHER,NEW YORK,M,52
2013,LUKE,SUFFOLK,M,49
2013,JACKSON,NEW YORK,M,53
2013,JACKSON,SUFFOLK,M,49
2013,JOSHUA,NEW YORK,M,53
2013,AIDEN,NEW YORK,M,53
2013,BRANDON,SUFFOLK,M,50
2013,JUDY,KINGS,F,16
2013,MASON,ST LAWRENCE,M,8
2013,DAVID,NEW YORK,M,53
2013,NOAH,ST LAWRENCE,M,8
2013,AIDEN,ST LAWRENCE,M,8
2013,SEBASTIAN,NEW YORK,M,57
2013,SAMUEL,NEW YORK,M,59
2013,MAX,NEW YORK,M,62
2013,DEVORA,KINGS,F,16
2013,OLIVER,NEW YORK,M,66
2013,JOSEPH,NEW YORK,M,66
2013,JAYDEN,NEW YORK,M,66
2013,LEO,NEW YORK,M,67
2013,JOHN,NEW YORK,M,68
2013,MICHAEL,NEW YORK,M,68
2013,MASON,NEW YORK,M,69
2013,MATTHEW,NEW YORK,M,76
2013,CHARLES,NEW YORK,M,77
2013,YEHUDIS,KINGS,F,16
2013,SABRINA,KINGS,F,15
2013,LUNA,KINGS,F,15
2013,MILAN,KINGS,F,15
2013,DANIELLE,KINGS,F,15
2013,ISLA,KINGS,F,15
2013,PARIS,KINGS,F,15
2013,LOLA,KINGS,F,15
2013,NYLAH,KINGS,F,15
2013,HELEN,KINGS,F,15
2013,ADELE,KINGS,F,15
2013,LIAM,NEW YORK,M,81
2013,LIAM,ST LAWRENCE,M,7
2013,DYLAN,NEW YORK,M,85
2013,DANIEL,NEW YORK,M,85
2013,JAMES,ST LAWRENCE,M,7
2013,BENJAMIN,NEW YORK,M,86
2013,HENRY,NEW YORK,M,87
2013,RYAN,NEW YORK,M,92
2013,LUCAS,NEW YORK,M,93
2013,ETHAN,NEW YORK,M,97
2013,JAMES,NEW YORK,M,99
2013,WYATT,ST LAWRENCE,M,7
2013,JOSHUA,SUFFOLK,M,50
2013,SURI,KINGS,F,15
2013,ZISSY,KINGS,F,15
2013,LUCAS,ST LAWRENCE,M,6
2013,YIDES,KINGS,F,15
2013,OLIVER,ST LAWRENCE,M,6
2013,JACOB,NEW YORK,M,100
2013,JACK,NEW YORK,M,101
2013,NOAH,NEW YORK,M,115
2013,WILLIAM,NEW YORK,M,119
2013,ALEXANDER,NEW YORK,M,123
2013,COLETTE,NEW YORK,F,10
2013,CAMILLA,NEW YORK,F,10
2013,ELLE,NEW YORK,F,10
2013,ANYA,NEW YORK,F,10
2013,LENA,NEW YORK,F,10
2013,MILAN,NEW YORK,F,10
2013,CORA,NEW YORK,F,10
2013,GIA,NEW YORK,F,10
2013,MIREL,KINGS,F,15
2013,DAVID,SUFFOLK,M,51
2013,BENJAMIN,SUFFOLK,M,53
2013,GAVIN,SUFFOLK,M,54
2013,AIDEN,SUFFOLK,M,54
2013,ETHAN,SUFFOLK,M,56
2013,MADELINE,KINGS,F,14
2013,ELLIE,KINGS,F,14
2013,ANDREA,KINGS,F,14
2013,MARIAH,KINGS,F,14
2013,CECILIA,KINGS,F,14
2013,TRINITY,KINGS,F,14
2013,LEILANI,KINGS,F,14
2013,HARMONY,KINGS,F,14
2013,SELENA,KINGS,F,14
2013,SABRINA,NEW YORK,F,10
2013,AMANDA,NEW YORK,F,10
2013,LAUREN,NEW YORK,F,10
2013,MICHELLE,NEW YORK,F,10
2013,LONDON,NEW YORK,F,10
2013,MELANIE,NEW YORK,F,10
2013,RACHEL,NEW YORK,F,10
2013,MARGOT,NEW YORK,F,11
